model name,uniform sample,density sample,senior population sample,balanced sample
all_points_1,5.097,4.378,4.351,4.343
all_points_2,3.66,3.262,3.137,3.226
all_points_3,2.977,2.998,2.954,2.958
all_points_4,2.623,2.551,2.535,2.533
all_points_5,2.202,2.125,2.063,2.093
all_points_6,1.993,1.986,1.967,2.021
all_points_7,1.919,1.771,1.752,1.786
all_points_8,1.801,1.613,1.656,1.61
all_points_9,1.712,1.609,1.616,1.643
senior_population_1,5.443,4.314,4.4,4.419
senior_population_2,3.972,2.958,2.886,2.906
senior_population_3,3.14,2.504,2.409,2.444
senior_population_4,2.686,2.182,2.198,2.165
senior_population_5,2.382,1.802,1.782,1.841
senior_population_6,2.291,1.733,1.721,1.743
senior_population_7,2.152,1.608,1.637,1.646
senior_population_8,2.057,1.575,1.584,1.577
senior_population_9,1.829,1.515,1.446,1.477
high_senior_population_regions_1,5.041,4.073,4.111,4.016
high_senior_population_regions_2,4.219,3.129,3.062,3.028
high_senior_population_regions_3,3.314,2.782,2.809,2.717
high_senior_population_regions_4,2.979,2.395,2.488,2.433
high_senior_population_regions_5,2.539,2.078,2.139,2.105
high_senior_population_regions_6,2.412,1.961,1.911,1.898
high_senior_population_regions_7,2.158,1.859,1.787,1.826
high_senior_population_regions_8,2.065,1.675,1.681,1.653
high_senior_population_regions_9,1.96,1.524,1.5,1.537
population_density_sample_1,5.472,4.076,4.214,4.115
population_density_sample_2,4.245,3.001,3.003,2.988
population_density_sample_3,3.376,2.614,2.696,2.605
population_density_sample_4,2.825,2.143,2.164,2.162
population_density_sample_5,2.575,1.865,1.915,1.894
population_density_sample_6,2.346,1.698,1.716,1.718
population_density_sample_7,2.177,1.606,1.67,1.62
population_density_sample_8,2.202,1.544,1.625,1.548
population_density_sample_9,2.109,1.412,1.494,1.419
population_density_sample_many_points_1,5.22,4.094,4.127,4.142
population_density_sample_many_points_2,4.441,2.961,3.052,3.076
population_density_sample_many_points_3,3.739,2.469,2.548,2.548
population_density_sample_many_points_4,2.982,2.074,2.11,2.105
population_density_sample_many_points_5,2.698,1.803,1.8,1.829
population_density_sample_many_points_6,2.607,1.723,1.756,1.684
population_density_sample_many_points_7,2.289,1.606,1.65,1.585
population_density_sample_many_points_8,2.174,1.451,1.535,1.524
population_density_sample_many_points_9,1.98,1.387,1.461,1.403
balanced_sample_1,5.178,4.143,4.073,4.114
balanced_sample_2,3.945,2.943,2.836,2.871
balanced_sample_3,3.135,2.433,2.47,2.446
balanced_sample_4,2.778,2.118,2.128,2.119
balanced_sample_5,2.487,1.858,1.85,1.855
balanced_sample_6,2.316,1.732,1.75,1.751
balanced_sample_7,2.08,1.632,1.621,1.597
balanced_sample_8,1.938,1.459,1.505,1.459
balanced_sample_9,1.851,1.417,1.465,1.412
real_world_with_free_standing_8,2.674,2.133,2.158,2.123
real_world_with_free_standing_9,2.475,1.904,1.916,1.876
real_world_with_free_standing_10,2.165,1.682,1.698,1.711
real_world_with_free_standing_11,2.089,1.541,1.589,1.589
